latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
47.86805,-53.11238,318.3,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,291.18,1.7,N,0
47.86711,-53.10708,311.1,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.82,1.7,N,0
47.86617,-53.10177,306.08,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.89,1.45,N,0
47.8713,-53.15054,344.08,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,291.32,5.8,N,0
47.8685,-53.13477,341.92,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,291.57,7.15,N,0
47.8638,-53.10839,320.68,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,290.86,1.7,N,0
47.86662,-53.12426,313.26,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.48,2.46,N,0
47.86568,-53.11898,316.84,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.89,2.46,N,0
47.86475,-53.11369,314.74,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.17,1.7,N,0
47.86894,-53.15718,344.13,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,292.39,5.68,N,0
47.86799,-53.15186,352.53,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,298.1,5.68,N,0
47.86333,-53.12559,321.85,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,290.32,1.31,N,0
47.86427,-53.13088,305.97,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.81,0.97,N,0
47.86238,-53.12029,313.66,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.32,1.31,N,0
47.86144,-53.11499,303.83,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.83,0.89,N,0
47.8605,-53.10968,307.18,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.84,0.89,N,0
47.86563,-53.15847,341.19,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,292.23,5.68,N,0
47.86469,-53.15317,334.1,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,291.69,5.68,N,0
47.86658,-53.16379,304.39,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287,0.75,N,0
47.86376,-53.14793,303.52,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.45,7.85,N,0
47.86096,-53.13219,303.29,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.73,0.97,N,0
47.86002,-53.12688,306.96,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.98,1.31,N,0
47.85907,-53.12158,300.42,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.26,1.31,N,0
47.85718,-53.11095,303.62,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.42,0.89,N,0
47.86233,-53.15975,328.35,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,292.11,2.22,N,0
47.86139,-53.15446,325.32,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,291.32,2.22,N,0
47.86327,-53.16506,308.54,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.97,2.81,N,0
47.86045,-53.14922,303.23,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.02,0.86,N,0
47.85765,-53.13346,298.72,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.21,0.73,N,0
47.85996,-53.16634,340.46,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,291.4,2.81,N,0
47.85902,-53.16104,324.11,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,291.53,2.22,N,0
47.85808,-53.15575,307.94,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.9,2.22,N,0
47.85714,-53.15049,299.04,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.86,0.86,N,0
47.85434,-53.13472,298.96,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.67,0.73,N,0
47.85666,-53.16764,355.54,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,297.68,5.92,N,0
47.85571,-53.16232,354.9,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,301.35,3.41,N,0
47.8576,-53.17295,318.72,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.13,5.92,N,0
47.85477,-53.15703,311.92,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.58,3.41,N,0
47.85384,-53.15176,302.46,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.8,0.93,N,0
47.84443,-53.09897,302.83,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.25,0.54,N,0
47.8543,-53.17425,328.22,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,290.49,5.92,N,0
47.85336,-53.16893,338.18,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,293.34,5.92,N,0
47.85241,-53.1636,328.4,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,290.59,3.41,N,0
47.85146,-53.15831,306.2,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.68,3.41,N,0
47.84112,-53.10027,303.02,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,286.99,0.54,N,0
47.851,-53.17555,336.62,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,290.75,2.92,N,0
47.85005,-53.17022,312.4,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.86,2.92,N,0
47.8491,-53.16489,313.34,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.63,0.91,N,0
47.84816,-53.15958,300.09,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.1,0.91,N,0
47.8477,-53.17687,345.91,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,295.04,2.92,N,0
